"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_NA"
"1",1,56,5,378.6875,36.9208928571429,4.10714285714286,341.766607142857,6,3,31,16,0,44,50,3,0,37,11,41,52,0
"2",2,5,0,150.464,38.942,0.8,111.522,0,0,5,0,0,0,0,0,0,9,0,0,0,0
"3",3,45,8,145.014666666667,16.9708888888889,1.37777777777778,128.043777777778,0,6,20,19,0,1,25,1,0,38,2,10,5,0
"4",4,146,33,282.658356164383,17.8032191780822,3.78767123287671,264.855136986301,0,15,97,34,51,17,129,11,12,123,1,121,116,0
"5",5,61,8,141.690327868853,17.5759016393443,2.54098360655738,124.114426229508,0,0,16,45,2,34,51,0,3,26,0,23,8,0
"6",6,14,5,185.902142857143,61.5435714285714,1.71428571428571,124.358571428571,0,0,0,14,0,0,3,0,0,7,0,1,0,0
"7",7,59,15,513.730169491525,103.985423728814,4.49152542372881,409.744745762712,2,2,30,25,11,52,49,3,25,35,16,44,40,0
"8",8,104,1,201.36125,55.5182692307692,2.31730769230769,145.842980769231,0,1,40,63,52,28,36,2,24,61,5,36,67,0
"9",9,16,15,343.943125,100.25625,5.375,243.686875,1,2,9,4,0,6,16,0,8,11,1,16,25,0
"10",10,197,3,391.340609137056,156.715482233502,3.6497461928934,234.625126903553,0,12,125,60,176,15,104,9,76,218,3,38,169,0
"11",12,47,9,267.04829787234,3.89531914893617,4.91489361702128,263.152978723404,0,5,35,7,40,9,40,0,29,45,1,35,39,0
"12",13,90,12,210.256666666667,34.2671111111111,2.46666666666667,175.989555555556,1,4,22,63,28,23,52,1,2,62,1,19,32,0
"13",14,77,16,345.476753246753,97.5633766233766,2.41558441558442,247.913376623377,2,10,10,55,2,3,47,1,0,39,0,21,28,0
"14",15,89,19,451.830449438202,105.104606741573,4.64044943820225,346.725842696629,8,3,37,41,22,81,66,0,37,53,16,68,84,0
"15",16,99,4,671.598585858586,146.56,3.26262626262626,525.038585858586,9,12,49,29,12,32,74,5,0,66,2,74,82,0
"16",17,70,1,215.175142857143,83.7185714285714,3.07142857142857,131.456571428571,1,0,34,35,2,6,44,1,3,81,0,23,34,0
"17",18,130,6,419.604461538461,66.1596923076923,4.54615384615385,353.444769230769,1,25,68,36,20,75,111,2,47,93,2,90,165,0
"18",19,28,0,255.428928571429,63.2982142857143,4.07142857142857,192.130714285714,0,2,8,18,6,11,21,0,8,27,0,17,13,0
"19",20,36,0,374.258611111111,187.607777777778,5.63888888888889,186.650833333333,2,4,16,14,23,21,31,0,2,43,0,32,27,0
"20",21,3,3,337.273333333333,30.2866666666667,6.33333333333333,306.986666666667,0,0,2,1,4,2,3,1,0,4,0,3,1,0
"21",23,9,1,155.572222222222,53.1788888888889,4.33333333333333,102.393333333333,0,0,4,5,5,4,9,0,3,6,0,2,6,0
"22",24,35,8,303.844857142857,68.0697142857143,4.28571428571429,235.775142857143,1,0,26,8,28,14,21,1,15,39,1,18,27,0
"23",25,73,1,188.439726027397,70.9371232876712,3.71232876712329,117.502602739726,0,3,31,39,0,1,68,0,7,78,1,46,43,0
"24",28,60,4,141.8445,25.8458333333333,2,115.998666666667,0,1,23,36,8,10,32,0,7,34,0,10,9,0
"25",30,30,0,322.122666666667,100.319666666667,7.66666666666667,221.803,0,0,16,14,40,21,27,0,23,32,0,39,50,0
