"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_LIFE","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_GI","N_MED","N_LI","ANP_OUTLIER","BIN_POLICY","BIN_VIT","BIN_ANP","BIN_ANP_B","BIN_ANP_R","BIN_LIFE","BIN_ENDOWMENT","BIN_ACCIDENT","BIN_CI","BIN_DISABILITY","BIN_INCOME","BIN_MEDICAL","BIN_OTHERMED","BIN_PAYOR","BIN_SAVERS","cluster","SCORE_LIFE","SCORE_MEDIC","SCORE_OTH"
"1",1,56,5,378.6875,36.9208928571429,4.10714285714286,341.766607142857,6,3,31,16,0,36,50,3,0,48,35,11,34,49,133,82,51,2,4,4,4,5,3,5,5,1,5,5,1,4,5,5,5,5,5,3.75,4
"2",2,5,0,150.464,38.942,0.8,111.522,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,3,1,1.25,1
"3",3,45,8,145.014666666667,16.9708888888889,1.37777777777778,128.043777777778,0,6,20,19,0,1,25,1,0,24,21,2,10,5,40,24,25,2,4,4,1,2,2,4,4,1,2,4,1,4,4,3,2,2,4,2.75,2.5
"4",4,146,33,282.658356164383,17.8032191780822,3.78767123287671,264.855136986301,0,15,97,34,48,17,129,11,12,118,106,1,113,116,406,136,129,2,5,5,3,4,2,5,5,5,4,5,5,5,4,5,5,5,5,4.5,5
"5",5,61,8,141.690327868853,17.5759016393443,2.54098360655738,124.114426229508,0,0,16,45,1,31,51,0,3,51,25,0,22,8,82,59,51,1,4,4,1,2,2,5,1,3,5,5,4,4,1,4,3,2,3,3.5,3.75
"6",6,14,5,185.902142857143,61.5435714285714,1.71428571428571,124.358571428571,0,0,0,14,0,0,3,0,0,3,7,0,1,0,4,7,3,1,2,4,2,2,4,2,1,1,1,1,1,2,1,1,1,4,1.5,1.25,1
"7",7,59,15,513.730169491525,103.985423728814,4.49152542372881,409.744745762712,2,2,30,25,6,23,49,3,25,49,31,16,38,37,130,95,52,7,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4.75,4.75
"8",8,104,1,201.36125,55.5182692307692,2.31730769230769,145.842980769231,0,1,40,63,52,25,36,2,24,34,48,5,26,36,150,102,36,14,5,2,2,2,3,4,5,5,5,4,5,5,5,5,5,1,4.5,5,4.75
"9",9,16,15,343.943125,100.25625,5.375,243.686875,1,2,9,4,0,5,15,0,8,15,11,1,14,14,43,25,15,2,2,5,4,4,5,3,1,1,3,3,4,3,4,4,3,2,2,3.5,2.75
"10",10,197,3,391.340609137056,156.715482233502,3.6497461928934,234.625126903553,0,12,125,60,62,5,104,9,76,96,146,3,38,98,302,230,105,28,5,3,4,3,5,5,5,5,3,5,5,5,5,5,5,5,5,4.5,5
